timestamp,open,high,low,close,volume
2025-07-11 00:00:00+00:00,31.15,46.89,31.15,46.31,106694.103
2025-07-12 00:00:00+00:00,46.31,47.45,45.17,47.08,77034.992
2025-07-13 00:00:00+00:00,47.08,49.28,46.99,48.92,145277.721
2025-07-14 00:00:00+00:00,48.92,49.89,46.48,47.58,182212.62
2025-07-15 00:00:00+00:00,47.58,48.36,46.66,47.85,113640.43
2025-07-16 00:00:00+00:00,47.85,48.52,46.51,47.0,154220.087
2025-07-17 00:00:00+00:00,47.0,47.37,44.48,45.57,267507.674
2025-07-18 00:00:00+00:00,45.57,47.39,43.03,44.33,264507.695
2025-07-19 00:00:00+00:00,44.33,45.27,43.99,44.46,93146.008
2025-07-20 00:00:00+00:00,44.46,47.38,44.19,46.0,230996.713
2025-07-21 00:00:00+00:00,46.0,47.81,44.06,44.3,297399.546
2025-07-22 00:00:00+00:00,44.3,46.31,43.07,46.26,186092.731
2025-07-23 00:00:00+00:00,46.26,46.31,42.45,43.73,283847.68
2025-07-24 00:00:00+00:00,43.73,44.4,41.53,42.1,249530.026
2025-07-25 00:00:00+00:00,42.1,44.24,41.17,44.16,449343.991
2025-07-26 00:00:00+00:00,44.16,44.95,43.34,43.37,84180.094
2025-07-27 00:00:00+00:00,43.37,44.32,42.43,43.66,156288.173
2025-07-28 00:00:00+00:00,43.66,46.16,42.77,43.76,396717.085
2025-07-29 00:00:00+00:00,43.76,45.33,42.59,43.55,213923.345
2025-07-30 00:00:00+00:00,43.55,43.73,40.78,42.27,207461.493
2025-07-31 00:00:00+00:00,42.27,44.74,40.66,40.78,178262.421
2025-08-01 00:00:00+00:00,40.78,41.65,36.39,37.66,339356.369
2025-08-02 00:00:00+00:00,37.66,38.74,35.53,36.9,190709.706
2025-08-03 00:00:00+00:00,36.9,39.3,36.44,38.17,172271.536
2025-08-04 00:00:00+00:00,38.17,39.46,37.27,38.8,188182.91
2025-08-05 00:00:00+00:00,38.8,39.89,37.41,38.51,226413.704
2025-08-06 00:00:00+00:00,38.51,39.26,36.9,38.09,133019.741
2025-08-07 00:00:00+00:00,38.09,40.99,37.6,40.86,188660.145
2025-08-08 00:00:00+00:00,40.86,41.79,40.14,41.02,160174.138
2025-08-09 00:00:00+00:00,41.02,44.69,40.59,43.64,224262.032
2025-08-10 00:00:00+00:00,43.64,45.44,42.82,45.24,171099.865
2025-08-11 00:00:00+00:00,45.24,47.0,42.58,43.16,229414.106
2025-08-12 00:00:00+00:00,43.16,45.87,42.13,44.75,238902.056
2025-08-13 00:00:00+00:00,44.75,47.99,43.05,47.63,445821.545
2025-08-14 00:00:00+00:00,47.63,48.89,43.8,45.49,608232.782
2025-08-15 00:00:00+00:00,45.49,49.55,45.37,47.77,590063.634
2025-08-16 00:00:00+00:00,47.77,48.25,46.13,46.3,126659.199
2025-08-17 00:00:00+00:00,46.3,47.76,45.8,46.02,142096.459
2025-08-18 00:00:00+00:00,46.02,46.16,42.93,43.32,275103.083
